W,Density=19.3,
1515.54883,0.000827146,0.000211243
1525.91406,0.000811854,0.000206741
1536.35034,0.000796743,0.000202333
1546.85791,0.000781593,0.00019802
1557.43726,0.000766397,0.000193799
1568.08911,0.000751372,0.000189667
1578.81384,0.000735992,0.000185621
1589.61182,0.000720892,0.000181662
1600.48364,0.000705382,0.000177785
1611.42981,0.000689972,0.000173991
1622.45081,0.00067438,0.000170278
1633.54736,0.000658462,0.000166644
1644.71973,0.000642745,0.000163087
1655.96838,0.000626018,0.000159603
1667.29419,0.000609626,0.000156194
1678.69727,0.000592145,0.000152857
1690.17834,0.000574477,0.000149591
1701.73804,0.0005561,0.000146395
1713.37671,0.000536265,0.000143269
1725.09509,0.00051681,0.000140209
1736.89355,0.000492786,0.000137189
1748.77258,0.000469319,0.000134234
1760.73303,0.000438827,0.000131339
1772.77527,0.000405169,0.000128505
1784.89978,0.000319179,0.000125731
1797.10718,0.000114692,0.000123018
1809.39832,-5.75E-05,0.000364834
1821.77332,0.000183917,0.000357519
1834.23291,0.000286328,0.00035035
1846.77783,0.00030603,0.000343324
1859.40845,0.000271549,0.00033644
1872.12561,9.31E-05,0.000488624
1884.92969,0.000237746,0.000477334
1897.82117,0.000378481,0.000466305
1910.80103,0.000412675,0.000455531
1923.86963,0.000433007,0.000445006
1937.02759,0.000447976,0.000434725
1950.27539,0.000458367,0.000424681
1963.61401,0.000467669,0.000414868
1977.0437,0.00047335,0.000405281
1990.56543,0.000478792,0.000395915
2004.17944,0.000482346,0.000386779
2017.8866,0.000484742,0.000377889
2031.6875,0.000486454,0.000369182
2045.58301,0.000487282,0.000360644
2059.57349,0.000487424,0.000352305
2073.65942,0.000486992,0.000344161
2087.8418,0.000485929,0.000336205
2102.12109,0.000484475,0.000328432
2116.49829,0.000482393,0.000320842
2130.97363,0.000480067,0.000313429
2145.5481,0.000477114,0.000306182
2160.22217,0.000473998,0.0002991
2174.99634,0.000470092,0.000292186
2189.87207,0.000466161,0.000285431
2204.84912,0.000461179,0.000278834
2219.92871,0.000455986,0.000272388
2235.11157,0.000449158,0.00026609
2250.39819,0.000440104,0.000259937
2265.78931,0.000423155,0.000253925
2281.28564,0.000362976,0.000289113
2296.88818,0.000406079,0.000282141
2312.59717,0.000431433,0.000275337
2328.41406,0.000433449,0.000268697
2344.33862,0.000434128,0.000262215
2360.37231,0.000433315,0.000255889
2376.51562,0.000431788,0.000249718
2392.76929,0.00042977,0.0002437
2409.13403,0.000427244,0.000237823
2425.61108,0.000424484,0.000232088
2442.20068,0.000421279,0.00022649
2458.90356,0.000417971,0.000221028
2475.7207,0.000414214,0.000215702
2492.65283,0.000410418,0.000210506
2509.70093,0.00040601,0.000205429
2526.86548,0.000401553,0.000200476
2544.14746,0.000395648,0.000195646
2561.54785,0.00038679,0.000190932
2579.06689,0.000371102,0.00019909
2596.70605,0.000384023,0.000194388
2614.46582,0.000382624,0.000189798
2632.34692,0.000380711,0.000185317
2650.35034,0.000377916,0.000180944
2668.47681,0.000374884,0.000176676
2686.72754,0.000371593,0.00017251
2705.10278,0.00036812,0.000168442
2723.60376,0.000364509,0.000164468
2742.23145,0.000360675,0.000160588
2760.98633,0.000356747,0.0001568
2779.86963,0.00035224,0.000153103
2798.88208,0.000347568,0.000149492
2818.02441,0.000334035,0.000145966
2837.29761,0.000339632,0.000149034
2856.70288,0.000338115,0.000145647
2876.24072,0.00033574,0.000142337
2895.91211,0.000332736,0.000139095
2915.71826,0.000329731,0.000135927
2935.65991,0.000326538,0.000132829
2955.73755,0.000323345,0.0001298
2975.95288,0.00032007,0.000126834
2996.3064,0.000316794,0.000123936
3016.79907,0.000313483,0.000121103
3037.43164,0.000310173,0.000118332
3058.20581,0.00030685,0.000115621
3079.12183,0.00030353,0.00011297
3100.18091,0.000300211,0.000110376
3121.38379,0.000296894,0.00010784
3142.73218,0.000293589,0.000105361
3164.22607,0.00029029,0.000102939
3185.86719,0.00028701,0.000100572
3207.65649,0.000283735,9.83E-05
3229.59448,0.000280486,9.60E-05
3251.68286,0.000277239,9.38E-05
3273.92188,0.000274026,9.16E-05
3296.31323,0.000270817,8.95E-05
3318.85791,0.000267641,8.74E-05
3341.55664,0.000264475,8.54E-05
3364.4104,0.00026134,8.34E-05
3387.42065,0.00025822,8.15E-05
3410.58838,0.000255129,7.96E-05
3433.91431,0.000252056,7.78E-05
3457.40015,0.000249012,7.60E-05
3481.04614,0.00024599,7.42E-05
3504.85425,0.000242994,7.25E-05
3528.82495,0.000240023,7.08E-05
3552.95972,0.000237077,6.92E-05
3577.25952,0.000234158,6.75E-05
3601.72559,0.000231263,6.60E-05
3626.35864,0.000228398,6.44E-05
3651.1604,0.000225555,6.29E-05
3676.13208,0.000222744,6.15E-05
3701.27417,0.000219954,6.00E-05
3726.58813,0.000217197,5.86E-05
3752.07568,0.000214462,5.73E-05
3777.73706,0.000211759,5.59E-05
3803.57422,0.000209077,5.46E-05
3829.58813,0.000206428,5.34E-05
3855.77979,0.000203802,5.21E-05
3882.15088,0.000201206,5.09E-05
3908.7019,0.000198636,4.97E-05
3935.43481,0.000196094,4.85E-05
3962.35034,0.000193578,4.74E-05
3989.4502,0.00019109,4.63E-05
4016.73511,0.000188629,4.52E-05
4044.20703,0.000186194,4.42E-05
4071.86646,0.000183786,4.31E-05
4099.71533,0.000181404,4.21E-05
4127.75488,0.00017905,4.11E-05
4155.98535,0.000176721,4.02E-05
4184.40967,0.00017442,3.92E-05
4213.02783,0.000172143,3.83E-05
4241.84229,0.000169894,3.74E-05
4270.85352,0.000167668,3.65E-05
4300.06299,0.000165471,3.57E-05
4329.47266,0.000163297,3.48E-05
4359.08301,0.00016115,3.40E-05
4388.89648,0.000159026,3.32E-05
4418.91357,0.000156929,3.24E-05
4449.13574,0.000154856,3.17E-05
4479.56445,0.000152808,3.09E-05
4510.20215,0.000150783,3.02E-05
4541.04834,0.000148784,2.95E-05
4572.10645,0.000146808,2.88E-05
4603.37646,0.000144856,2.81E-05
4634.85986,0.000142928,2.74E-05
4666.55908,0.000141023,2.68E-05
4698.47559,0.000139141,2.62E-05
4730.60986,0.000137282,2.55E-05
4762.96387,0.000135447,2.49E-05
4795.53955,0.000133633,2.44E-05
4828.3374,0.000131843,2.38E-05
4861.35986,0.000130073,2.32E-05
4894.60791,0.000128327,2.27E-05
4928.08398,0.000126601,2.21E-05
4961.78857,0.000124898,2.16E-05
4995.72363,0.000123215,2.11E-05
5029.89111,0.000121554,2.06E-05
5064.29199,0.000119913,2.01E-05
5098.92822,0.000118293,1.96E-05
5133.80127,0.000116694,1.92E-05
5168.91357,0.000115115,1.87E-05
5204.26514,0.000113555,1.83E-05
5239.8584,0.000112016,1.78E-05
5275.69531,0.000110496,1.74E-05
5311.77783,0.000108996,1.70E-05
5348.10645,0.000107515,1.66E-05
5384.68408,0.000106052,1.62E-05
5421.51172,0.000104609,1.58E-05
5458.59082,0.000103184,1.54E-05
5495.92383,0.000101777,1.51E-05
5533.51221,0.000100388,1.47E-05
5571.35791,9.90E-05,1.44E-05
5609.46191,9.77E-05,1.40E-05
5647.82666,9.63E-05,1.37E-05
5686.45361,9.50E-05,1.34E-05
5725.34521,9.37E-05,1.30E-05
5764.50244,9.24E-05,1.27E-05
5803.92773,9.12E-05,1.24E-05
5843.62256,8.99E-05,1.21E-05
5883.58936,8.87E-05,1.18E-05
5923.82861,8.75E-05,1.16E-05
5964.34375,8.63E-05,1.13E-05
6005.13574,8.51E-05,1.10E-05
6046.20654,8.39E-05,1.08E-05
6087.55811,8.27E-05,1.05E-05
6129.19336,8.16E-05,1.03E-05
6171.1123,8.05E-05,1.00E-05
6213.31885,7.94E-05,9.77E-06
6255.81348,7.83E-05,9.53E-06
6298.59863,7.72E-05,9.31E-06
6341.67725,7.61E-05,9.08E-06
6385.0498,7.51E-05,8.87E-06
6428.71924,7.40E-05,8.65E-06
6472.68701,7.30E-05,8.45E-06
6516.95605,7.20E-05,8.24E-06
6561.52734,7.10E-05,8.05E-06
6606.40332,7.00E-05,7.85E-06
6651.58643,6.90E-05,7.67E-06
6697.0791,6.81E-05,7.48E-06
6742.88232,6.71E-05,7.30E-06
6788.99902,6.62E-05,7.13E-06
6835.43115,6.53E-05,6.96E-06
6882.18066,6.43E-05,6.79E-06
6929.25,6.34E-05,6.63E-06
6976.64111,6.26E-05,6.47E-06
7024.35693,6.17E-05,6.31E-06
7072.39844,6.08E-05,6.16E-06
7120.76904,6.00E-05,6.01E-06
7169.46973,5.91E-05,5.87E-06
7218.50439,5.83E-05,5.73E-06
7267.87354,5.75E-05,5.59E-06
7317.58105,5.67E-05,5.46E-06
7367.62793,5.59E-05,5.33E-06
7418.01807,5.51E-05,5.20E-06
7468.75195,5.43E-05,5.07E-06
7519.83301,5.35E-05,4.95E-06
7571.26318,5.28E-05,4.83E-06
7623.04541,5.20E-05,4.72E-06
7675.18164,5.13E-05,4.60E-06
7727.6748,5.06E-05,4.49E-06
7780.52686,4.98E-05,4.38E-06
7833.74023,4.91E-05,4.28E-06
7887.31787,4.84E-05,4.17E-06
7941.26123,4.77E-05,4.07E-06
7995.57422,4.71E-05,3.98E-06
8050.25879,4.64E-05,3.88E-06
8105.31641,4.57E-05,3.79E-06
8160.75146,4.51E-05,3.69E-06
8216.56543,4.44E-05,3.61E-06
8272.76074,4.38E-05,3.52E-06
8329.34082,4.31E-05,3.43E-06
8386.30762,4.25E-05,3.35E-06
8443.66406,4.19E-05,3.27E-06
8501.41309,4.13E-05,3.19E-06
8559.55664,4.07E-05,3.11E-06
8618.09863,4.01E-05,3.04E-06
8677.04004,3.95E-05,2.96E-06
8736.38574,3.89E-05,2.89E-06
8796.13574,3.83E-05,2.82E-06
8856.2959,3.78E-05,2.75E-06
8916.86621,3.72E-05,2.69E-06
8977.85156,3.67E-05,2.62E-06
9039.25391,3.61E-05,2.56E-06
9101.07617,3.55E-05,2.50E-06
9163.32129,3.50E-05,2.44E-06
9225.99219,3.45E-05,2.38E-06
9289.09082,3.39E-05,2.32E-06
9352.62207,3.34E-05,2.26E-06
9416.58789,3.29E-05,2.21E-06
9480.99023,3.23E-05,2.15E-06
9545.83496,3.18E-05,2.10E-06
9611.12109,3.13E-05,2.05E-06
9676.85449,3.07E-05,2.00E-06
9743.03711,3.02E-05,1.95E-06
9809.67285,2.96E-05,1.90E-06
9876.76465,2.91E-05,1.86E-06
9944.31543,2.85E-05,1.81E-06
10012.3271,2.78E-05,1.77E-06
10080.8047,2.64E-05,1.73E-06
10149.75,2.32E-05,1.69E-06
10219.168,2.37E-05,4.24E-06
10289.0596,2.52E-05,4.13E-06
10359.4297,2.57E-05,4.03E-06
10430.2803,2.58E-05,3.92E-06
10501.6162,2.57E-05,3.82E-06
10573.4404,2.55E-05,3.73E-06
10645.7559,2.53E-05,3.63E-06
10718.5654,2.50E-05,3.54E-06
10791.873,2.47E-05,3.45E-06
10865.6816,2.45E-05,3.36E-06
10939.9961,2.42E-05,3.27E-06
11014.8174,2.39E-05,3.19E-06
11090.1504,2.35E-05,3.11E-06
11166,2.32E-05,3.03E-06
11242.3682,2.29E-05,2.95E-06
11319.2578,2.25E-05,2.87E-06
11396.6738,2.21E-05,2.80E-06
11474.6191,2.09E-05,2.73E-06
11553.0977,1.94E-05,3.72E-06
11632.1123,2.11E-05,3.63E-06
11711.6689,2.10E-05,3.54E-06
11791.7686,2.09E-05,3.45E-06
11872.416,2.07E-05,3.36E-06
11953.6152,2.04E-05,3.28E-06
12035.3701,1.99E-05,3.20E-06
12117.6836,1.92E-05,3.58E-06
12200.5596,1.98E-05,3.50E-06
12284.0029,1.97E-05,3.41E-06
12368.0176,1.95E-05,3.33E-06
12452.6064,1.94E-05,3.25E-06
12537.7734,1.92E-05,3.18E-06
12623.5225,1.90E-05,3.10E-06
12709.8594,1.88E-05,3.03E-06
12796.7852,1.86E-05,2.95E-06
12884.3066,1.84E-05,2.88E-06
12972.4268,1.82E-05,2.82E-06
13061.1484,1.80E-05,2.75E-06
13150.4785,1.78E-05,2.68E-06
13240.418,1.76E-05,2.62E-06
13330.9736,1.74E-05,2.56E-06
13422.1475,1.72E-05,2.49E-06
13513.9463,1.70E-05,2.43E-06
13606.373,1.68E-05,2.38E-06
13699.4307,1.66E-05,2.32E-06
13793.125,1.64E-05,2.26E-06
13887.4609,1.62E-05,2.21E-06
13982.4414,1.60E-05,2.16E-06
14078.0713,1.58E-05,2.10E-06
14174.3555,1.56E-05,2.05E-06
14271.2988,1.54E-05,2.00E-06
14368.9043,1.52E-05,1.96E-06
14467.1777,1.50E-05,1.91E-06
14566.123,1.48E-05,1.86E-06
14665.7461,1.46E-05,1.82E-06
14766.0498,1.44E-05,1.77E-06
14867.0391,1.43E-05,1.73E-06
14968.7188,1.41E-05,1.69E-06
15071.0947,1.39E-05,1.65E-06
15174.1709,1.37E-05,1.61E-06
15277.9512,1.36E-05,1.57E-06
15382.4414,1.34E-05,1.53E-06
15487.6475,1.32E-05,1.49E-06
15593.5713,1.30E-05,1.46E-06
15700.2207,1.29E-05,1.42E-06
15807.5996,1.27E-05,1.39E-06
15915.7129,1.25E-05,1.35E-06
16024.5645,1.24E-05,1.32E-06
16134.1631,1.22E-05,1.29E-06
16244.5088,1.21E-05,1.26E-06
16355.6104,1.19E-05,1.23E-06
16467.4727,1.17E-05,1.20E-06
16580.0977,1.16E-05,1.17E-06
16693.4922,1.14E-05,1.14E-06
16807.6641,1.13E-05,1.11E-06
16922.6191,1.11E-05,1.08E-06
17038.3574,1.10E-05,1.06E-06
17154.8887,1.09E-05,1.03E-06
17272.2148,1.07E-05,1.01E-06
17390.3457,1.06E-05,9.82E-07
17509.2832,1.04E-05,9.58E-07
17629.0352,1.03E-05,9.34E-07
17749.6055,1.02E-05,9.11E-07
17871,1.00E-05,8.89E-07
17993.2246,9.89E-06,8.67E-07
18116.2871,9.76E-06,8.46E-07
18240.1914,9.63E-06,8.25E-07
18364.9414,9.50E-06,8.05E-07
18490.543,9.37E-06,7.85E-07
18617.0059,9.25E-06,7.66E-07
18744.334,9.12E-06,7.47E-07
18872.5312,9.00E-06,7.29E-07
19001.6074,8.88E-06,7.11E-07
19131.5645,8.76E-06,6.93E-07
19262.4102,8.65E-06,6.76E-07
19394.1543,8.53E-06,6.60E-07
19526.7969,8.42E-06,6.43E-07
19660.3457,8.30E-06,6.27E-07
19794.8086,8.19E-06,6.12E-07
19930.1914,8.08E-06,5.97E-07
20066.5,7.97E-06,5.82E-07
20203.7402,7.87E-06,5.68E-07
20341.9199,7.76E-06,5.54E-07
20481.0449,7.66E-06,5.40E-07
20621.123,7.55E-06,5.27E-07
20762.1562,7.45E-06,5.14E-07
20904.1562,7.35E-06,5.01E-07
21047.125,7.25E-06,4.89E-07
21191.0723,7.15E-06,4.77E-07
21336.0039,7.06E-06,4.65E-07
21481.9277,6.96E-06,4.53E-07
21628.8496,6.87E-06,4.42E-07
21776.7754,6.78E-06,4.31E-07
21925.7148,6.68E-06,4.20E-07
22075.6699,6.59E-06,4.10E-07
22226.6543,6.50E-06,4.00E-07
22378.668,6.42E-06,3.90E-07
22531.7227,6.33E-06,3.80E-07
22685.8262,6.24E-06,3.71E-07
22840.9805,6.16E-06,3.62E-07
22997.1953,6.08E-06,3.53E-07
23154.4824,5.99E-06,3.44E-07
23312.8418,5.91E-06,3.36E-07
23472.2871,5.83E-06,3.27E-07
23632.8203,5.75E-06,3.19E-07
23794.4531,5.68E-06,3.11E-07
23957.1895,5.60E-06,3.03E-07
24121.041,5.52E-06,2.96E-07
24286.0117,5.45E-06,2.89E-07
24452.1094,5.37E-06,2.81E-07
24619.3457,5.30E-06,2.74E-07
24787.7246,5.23E-06,2.68E-07
24957.2559,5.16E-06,2.61E-07
25127.9473,5.09E-06,2.54E-07
25299.8047,5.02E-06,2.48E-07
25472.8379,4.95E-06,2.42E-07
25647.0547,4.88E-06,2.36E-07
25822.4629,4.82E-06,2.30E-07
25999.0703,4.75E-06,2.24E-07
26176.8848,4.69E-06,2.19E-07
26355.918,4.62E-06,2.13E-07
26536.1738,4.56E-06,2.08E-07
26717.6621,4.50E-06,2.03E-07
26900.3945,4.44E-06,1.98E-07
27084.373,4.38E-06,1.93E-07
27269.6113,4.32E-06,1.88E-07
27456.1172,4.26E-06,1.83E-07
27643.8984,4.20E-06,1.79E-07
27832.9648,4.14E-06,1.74E-07
28023.3203,4.09E-06,1.70E-07
28214.9805,4.03E-06,1.66E-07
28407.9531,3.97E-06,1.62E-07
28602.2441,3.92E-06,1.58E-07
28797.8633,3.87E-06,1.54E-07
28994.8223,3.81E-06,1.50E-07
29193.125,3.76E-06,1.46E-07
29392.7852,3.71E-06,1.43E-07
29593.8125,3.66E-06,1.39E-07
29796.2129,3.61E-06,1.36E-07
30000,3.56E-06,1.32E-07
