Rh,Density=12.41,
1772.77527,0.00062204,0.000113566
1784.89978,0.000613406,0.000110937
1797.10718,0.000604867,0.000108365
1809.39832,0.000596446,0.000105853
1821.77332,0.00058811,0.000103397
1834.23291,0.000579889,0.000100998
1846.77783,0.000571764,9.87E-05
1859.40845,0.000563741,9.64E-05
1872.12561,0.000555824,9.41E-05
1884.92969,0.000547996,9.19E-05
1897.82117,0.000540279,8.98E-05
1910.80103,0.000532648,8.77E-05
1923.86963,0.000525121,8.57E-05
1937.02759,0.000517686,8.37E-05
1950.27539,0.000510344,8.18E-05
1963.61401,0.000503101,7.99E-05
1977.0437,0.000495935,7.80E-05
1990.56543,0.00048887,7.62E-05
2004.17944,0.000481901,7.45E-05
2017.8866,0.00047503,7.27E-05
2031.6875,0.000468244,7.11E-05
2045.58301,0.000461542,6.94E-05
2059.57349,0.000454932,6.78E-05
2073.65942,0.000448382,6.62E-05
2087.8418,0.000441927,6.46E-05
2102.12109,0.00043554,6.31E-05
2116.49829,0.000429237,6.16E-05
2130.97363,0.000423012,6.02E-05
2145.5481,0.000416856,5.88E-05
2160.22217,0.000410788,5.74E-05
2174.99634,0.000404774,5.60E-05
2189.87207,0.000398849,5.47E-05
2204.84912,0.000392984,5.34E-05
2219.92871,0.000387195,5.21E-05
2235.11157,0.000381477,5.09E-05
2250.39819,0.000375818,4.97E-05
2265.78931,0.000370242,4.85E-05
2281.28564,0.000364708,4.74E-05
2296.88818,0.000359255,4.62E-05
2312.59717,0.000353855,4.51E-05
2328.41406,0.00034852,4.41E-05
2344.33862,0.00034325,4.30E-05
2360.37231,0.000338025,4.20E-05
2376.51562,0.000332878,4.10E-05
2392.76929,0.000327759,4.00E-05
2409.13403,0.000322715,3.90E-05
2425.61108,0.000317713,3.81E-05
2442.20068,0.000312763,3.72E-05
2458.90356,0.000307874,3.63E-05
2475.7207,0.000303008,3.54E-05
2492.65283,0.000298218,3.46E-05
2509.70093,0.000293438,3.37E-05
2526.86548,0.000288722,3.29E-05
2544.14746,0.000284035,3.21E-05
2561.54785,0.000279381,3.14E-05
2579.06689,0.000274783,3.06E-05
2596.70605,0.000270174,2.99E-05
2614.46582,0.000265639,2.91E-05
2632.34692,0.000261079,2.84E-05
2650.35034,0.00025657,2.77E-05
2668.47681,0.000252066,2.71E-05
2686.72754,0.000247555,2.64E-05
2705.10278,0.0002431,2.58E-05
2723.60376,0.000238547,2.51E-05
2742.23145,0.000234073,2.45E-05
2760.98633,0.000229483,2.39E-05
2779.86963,0.000224909,2.33E-05
2798.88208,0.000220271,2.27E-05
2818.02441,0.000215493,2.22E-05
2837.29761,0.000210783,2.16E-05
2856.70288,0.000205598,2.11E-05
2876.24072,0.000200514,2.06E-05
2895.91211,0.000194772,2.01E-05
2915.71826,0.000188798,1.96E-05
2935.65991,0.000181862,1.91E-05
2955.73755,0.000172873,1.86E-05
2975.95288,0.000164094,1.82E-05
2996.3064,0.000103698,1.77E-05
3016.79907,0.000127076,6.07E-05
3037.43164,0.000156524,5.93E-05
3058.20581,0.000160291,5.79E-05
3079.12183,0.00016242,5.65E-05
3100.18091,0.000160353,5.52E-05
3121.38379,0.000158313,5.39E-05
3142.73218,0.000129302,5.26E-05
3164.22607,0.000147481,7.05E-05
3185.86719,0.000160464,6.89E-05
3207.65649,0.000162379,6.72E-05
3229.59448,0.000163844,6.56E-05
3251.68286,0.000163814,6.41E-05
3273.92188,0.000163754,6.25E-05
3296.31323,0.000162958,6.11E-05
3318.85791,0.00016203,5.96E-05
3341.55664,0.000160585,5.82E-05
3364.4104,0.000158637,5.68E-05
3387.42065,0.000155034,5.54E-05
3410.58838,0.000141477,5.41E-05
3433.91431,0.00015231,6.12E-05
3457.40015,0.000155026,5.98E-05
3481.04614,0.000155191,5.84E-05
3504.85425,0.000154985,5.70E-05
3528.82495,0.00015432,5.57E-05
3552.95972,0.000153621,5.44E-05
3577.25952,0.000152652,5.31E-05
3601.72559,0.000151682,5.19E-05
3626.35864,0.000150588,5.07E-05
3651.1604,0.000149451,4.95E-05
3676.13208,0.000148274,4.83E-05
3701.27417,0.000147031,4.72E-05
3726.58813,0.000145792,4.61E-05
3752.07568,0.000144476,4.50E-05
3777.73706,0.000143169,4.40E-05
3803.57422,0.000141826,4.29E-05
3829.58813,0.000140472,4.19E-05
3855.77979,0.000139111,4.09E-05
3882.15088,0.000137723,4.00E-05
3908.7019,0.000136348,3.90E-05
3935.43481,0.000134941,3.81E-05
3962.35034,0.000133545,3.72E-05
3989.4502,0.000132139,3.63E-05
4016.73511,0.000130732,3.54E-05
4044.20703,0.000129331,3.46E-05
4071.86646,0.00012792,3.38E-05
4099.71533,0.000126523,3.30E-05
4127.75488,0.000125115,3.22E-05
4155.98535,0.00012372,3.14E-05
4184.40967,0.000122326,3.07E-05
4213.02783,0.000120936,2.99E-05
4241.84229,0.000119557,2.92E-05
4270.85352,0.000118176,2.85E-05
4300.06299,0.000116811,2.78E-05
4329.47266,0.000115446,2.72E-05
4359.08301,0.000114093,2.65E-05
4388.89648,0.000112748,2.59E-05
4418.91357,0.000111409,2.52E-05
4449.13574,0.000110084,2.46E-05
4479.56445,0.000108762,2.40E-05
4510.20215,0.000107456,2.35E-05
4541.04834,0.000106155,2.29E-05
4572.10645,0.000104867,2.23E-05
4603.37646,0.000103589,2.18E-05
4634.85986,0.00010232,2.13E-05
4666.55908,0.000101066,2.08E-05
4698.47559,9.98E-05,2.03E-05
4730.60986,9.86E-05,1.98E-05
4762.96387,9.74E-05,1.93E-05
4795.53955,9.61E-05,1.88E-05
4828.3374,9.49E-05,1.84E-05
4861.35986,9.38E-05,1.79E-05
4894.60791,9.26E-05,1.75E-05
4928.08398,9.14E-05,1.71E-05
4961.78857,9.03E-05,1.66E-05
4995.72363,8.91E-05,1.62E-05
5029.89111,8.80E-05,1.58E-05
5064.29199,8.69E-05,1.55E-05
5098.92822,8.57E-05,1.51E-05
5133.80127,8.47E-05,1.47E-05
5168.91357,8.36E-05,1.44E-05
5204.26514,8.25E-05,1.40E-05
5239.8584,8.14E-05,1.37E-05
5275.69531,8.04E-05,1.33E-05
5311.77783,7.93E-05,1.30E-05
5348.10645,7.83E-05,1.27E-05
5384.68408,7.73E-05,1.24E-05
5421.51172,7.63E-05,1.21E-05
5458.59082,7.53E-05,1.18E-05
5495.92383,7.43E-05,1.15E-05
5533.51221,7.33E-05,1.12E-05
5571.35791,7.24E-05,1.09E-05
5609.46191,7.14E-05,1.07E-05
5647.82666,7.05E-05,1.04E-05
5686.45361,6.96E-05,1.01E-05
5725.34521,6.87E-05,9.89E-06
5764.50244,6.77E-05,9.65E-06
5803.92773,6.69E-05,9.41E-06
5843.62256,6.60E-05,9.18E-06
5883.58936,6.51E-05,8.95E-06
5923.82861,6.42E-05,8.73E-06
5964.34375,6.34E-05,8.51E-06
6005.13574,6.25E-05,8.30E-06
6046.20654,6.17E-05,8.10E-06
6087.55811,6.09E-05,7.90E-06
6129.19336,6.01E-05,7.70E-06
6171.1123,5.93E-05,7.51E-06
6213.31885,5.85E-05,7.33E-06
6255.81348,5.77E-05,7.15E-06
6298.59863,5.69E-05,6.97E-06
6341.67725,5.62E-05,6.80E-06
6385.0498,5.54E-05,6.63E-06
6428.71924,5.47E-05,6.46E-06
6472.68701,5.39E-05,6.30E-06
6516.95605,5.32E-05,6.15E-06
6561.52734,5.25E-05,5.99E-06
6606.40332,5.18E-05,5.85E-06
6651.58643,5.11E-05,5.70E-06
6697.0791,5.04E-05,5.56E-06
6742.88232,4.97E-05,5.42E-06
6788.99902,4.91E-05,5.29E-06
6835.43115,4.84E-05,5.15E-06
6882.18066,4.77E-05,5.03E-06
6929.25,4.71E-05,4.90E-06
6976.64111,4.65E-05,4.78E-06
7024.35693,4.58E-05,4.66E-06
7072.39844,4.52E-05,4.54E-06
7120.76904,4.46E-05,4.43E-06
7169.46973,4.40E-05,4.32E-06
7218.50439,4.34E-05,4.21E-06
7267.87354,4.28E-05,4.11E-06
7317.58105,4.22E-05,4.01E-06
7367.62793,4.17E-05,3.91E-06
7418.01807,4.11E-05,3.81E-06
7468.75195,4.05E-05,3.71E-06
7519.83301,4.00E-05,3.62E-06
7571.26318,3.94E-05,3.53E-06
7623.04541,3.89E-05,3.44E-06
7675.18164,3.84E-05,3.36E-06
7727.6748,3.79E-05,3.27E-06
7780.52686,3.73E-05,3.19E-06
7833.74023,3.68E-05,3.11E-06
7887.31787,3.63E-05,3.03E-06
7941.26123,3.58E-05,2.96E-06
7995.57422,3.53E-05,2.88E-06
8050.25879,3.49E-05,2.81E-06
8105.31641,3.44E-05,2.74E-06
8160.75146,3.39E-05,2.67E-06
8216.56543,3.35E-05,2.60E-06
8272.76074,3.30E-05,2.54E-06
8329.34082,3.25E-05,2.48E-06
8386.30762,3.21E-05,2.41E-06
8443.66406,3.17E-05,2.35E-06
8501.41309,3.12E-05,2.29E-06
8559.55664,3.08E-05,2.24E-06
8618.09863,3.04E-05,2.18E-06
8677.04004,3.00E-05,2.13E-06
8736.38574,2.96E-05,2.07E-06
8796.13574,2.91E-05,2.02E-06
8856.2959,2.87E-05,1.97E-06
8916.86621,2.84E-05,1.92E-06
8977.85156,2.80E-05,1.87E-06
9039.25391,2.76E-05,1.83E-06
9101.07617,2.72E-05,1.78E-06
9163.32129,2.68E-05,1.74E-06
9225.99219,2.65E-05,1.69E-06
9289.09082,2.61E-05,1.65E-06
9352.62207,2.57E-05,1.61E-06
9416.58789,2.54E-05,1.57E-06
9480.99023,2.50E-05,1.53E-06
9545.83496,2.47E-05,1.49E-06
9611.12109,2.44E-05,1.45E-06
9676.85449,2.40E-05,1.42E-06
9743.03711,2.37E-05,1.38E-06
9809.67285,2.34E-05,1.35E-06
9876.76465,2.30E-05,1.31E-06
9944.31543,2.27E-05,1.28E-06
10012.3271,2.24E-05,1.25E-06
10080.8047,2.21E-05,1.21E-06
10149.75,2.18E-05,1.18E-06
10219.168,2.15E-05,1.15E-06
10289.0596,2.12E-05,1.13E-06
10359.4297,2.09E-05,1.10E-06
10430.2803,2.06E-05,1.07E-06
10501.6162,2.03E-05,1.04E-06
10573.4404,2.01E-05,1.02E-06
10645.7559,1.98E-05,9.91E-07
10718.5654,1.95E-05,9.66E-07
10791.873,1.92E-05,9.41E-07
10865.6816,1.90E-05,9.18E-07
10939.9961,1.87E-05,8.95E-07
11014.8174,1.85E-05,8.72E-07
11090.1504,1.82E-05,8.50E-07
11166,1.80E-05,8.29E-07
11242.3682,1.77E-05,8.08E-07
11319.2578,1.75E-05,7.87E-07
11396.6738,1.72E-05,7.68E-07
11474.6191,1.70E-05,7.48E-07
11553.0977,1.68E-05,7.29E-07
11632.1123,1.65E-05,7.11E-07
11711.6689,1.63E-05,6.93E-07
11791.7686,1.61E-05,6.76E-07
11872.416,1.59E-05,6.58E-07
11953.6152,1.56E-05,6.42E-07
12035.3701,1.54E-05,6.26E-07
12117.6836,1.52E-05,6.10E-07
12200.5596,1.50E-05,5.94E-07
12284.0029,1.48E-05,5.79E-07
12368.0176,1.46E-05,5.65E-07
12452.6064,1.44E-05,5.51E-07
12537.7734,1.42E-05,5.37E-07
12623.5225,1.40E-05,5.23E-07
12709.8594,1.38E-05,5.10E-07
12796.7852,1.36E-05,4.97E-07
12884.3066,1.34E-05,4.85E-07
12972.4268,1.32E-05,4.72E-07
13061.1484,1.31E-05,4.60E-07
13150.4785,1.29E-05,4.49E-07
13240.418,1.27E-05,4.37E-07
13330.9736,1.25E-05,4.26E-07
13422.1475,1.23E-05,4.16E-07
13513.9463,1.22E-05,4.05E-07
13606.373,1.20E-05,3.95E-07
13699.4307,1.18E-05,3.85E-07
13793.125,1.17E-05,3.75E-07
13887.4609,1.15E-05,3.66E-07
13982.4414,1.14E-05,3.56E-07
14078.0713,1.12E-05,3.47E-07
14174.3555,1.10E-05,3.39E-07
14271.2988,1.09E-05,3.30E-07
14368.9043,1.07E-05,3.22E-07
14467.1777,1.06E-05,3.14E-07
14566.123,1.04E-05,3.06E-07
14665.7461,1.03E-05,2.98E-07
14766.0498,1.02E-05,2.90E-07
14867.0391,1.00E-05,2.83E-07
14968.7188,9.88E-06,2.76E-07
15071.0947,9.75E-06,2.69E-07
15174.1709,9.61E-06,2.62E-07
15277.9512,9.48E-06,2.56E-07
15382.4414,9.35E-06,2.49E-07
15487.6475,9.22E-06,2.43E-07
15593.5713,9.09E-06,2.37E-07
15700.2207,8.96E-06,2.31E-07
15807.5996,8.84E-06,2.25E-07
15915.7129,8.72E-06,2.19E-07
16024.5645,8.60E-06,2.14E-07
16134.1631,8.48E-06,2.08E-07
16244.5088,8.36E-06,2.03E-07
16355.6104,8.24E-06,1.98E-07
16467.4727,8.13E-06,1.93E-07
16580.0977,8.02E-06,1.88E-07
16693.4922,7.90E-06,1.83E-07
16807.6641,7.79E-06,1.79E-07
16922.6191,7.69E-06,1.74E-07
17038.3574,7.58E-06,1.70E-07
17154.8887,7.47E-06,1.65E-07
17272.2148,7.37E-06,1.61E-07
17390.3457,7.27E-06,1.57E-07
17509.2832,7.17E-06,1.53E-07
17629.0352,7.07E-06,1.49E-07
17749.6055,6.97E-06,1.45E-07
17871,6.87E-06,1.42E-07
17993.2246,6.77E-06,1.38E-07
18116.2871,6.68E-06,1.35E-07
18240.1914,6.58E-06,1.31E-07
18364.9414,6.49E-06,1.28E-07
18490.543,6.40E-06,1.25E-07
18617.0059,6.31E-06,1.22E-07
18744.334,6.22E-06,1.18E-07
18872.5312,6.13E-06,1.15E-07
19001.6074,6.05E-06,1.13E-07
19131.5645,5.96E-06,1.10E-07
19262.4102,5.88E-06,1.07E-07
19394.1543,5.79E-06,1.04E-07
19526.7969,5.71E-06,1.02E-07
19660.3457,5.63E-06,9.90E-08
19794.8086,5.55E-06,9.65E-08
19930.1914,5.47E-06,9.40E-08
20066.5,5.39E-06,9.16E-08
20203.7402,5.32E-06,8.93E-08
20341.9199,5.24E-06,8.70E-08
20481.0449,5.16E-06,8.48E-08
20621.123,5.09E-06,8.27E-08
20762.1562,5.01E-06,8.06E-08
20904.1562,4.94E-06,7.85E-08
21047.125,4.87E-06,7.66E-08
21191.0723,4.80E-06,7.46E-08
21336.0039,4.72E-06,7.27E-08
21481.9277,4.65E-06,7.09E-08
21628.8496,4.58E-06,6.91E-08
21776.7754,4.51E-06,6.73E-08
21925.7148,4.44E-06,6.56E-08
22075.6699,4.37E-06,6.40E-08
22226.6543,4.30E-06,6.23E-08
22378.668,4.22E-06,6.07E-08
22531.7227,4.15E-06,5.92E-08
22685.8262,4.07E-06,5.77E-08
22840.9805,3.98E-06,5.62E-08
22997.1953,3.80E-06,5.48E-08
23154.4824,3.61E-06,5.34E-08
23312.8418,3.28E-06,3.36E-07
23472.2871,3.56E-06,3.28E-07
23632.8203,3.74E-06,3.20E-07
23794.4531,3.72E-06,3.12E-07
23957.1895,3.70E-06,3.05E-07
24121.041,3.67E-06,2.98E-07
24286.0117,3.63E-06,2.90E-07
24452.1094,3.60E-06,2.83E-07
24619.3457,3.56E-06,2.77E-07
24787.7246,3.52E-06,2.70E-07
24957.2559,3.48E-06,2.64E-07
25127.9473,3.44E-06,2.57E-07
25299.8047,3.40E-06,2.51E-07
25472.8379,3.36E-06,2.45E-07
25647.0547,3.33E-06,2.39E-07
25822.4629,3.29E-06,2.33E-07
25999.0703,3.25E-06,2.28E-07
26176.8848,3.21E-06,2.22E-07
26355.918,3.17E-06,2.17E-07
26536.1738,3.13E-06,2.11E-07
26717.6621,3.09E-06,2.06E-07
26900.3945,3.05E-06,2.01E-07
27084.373,3.01E-06,1.96E-07
27269.6113,2.98E-06,1.92E-07
27456.1172,2.94E-06,1.87E-07
27643.8984,2.90E-06,1.82E-07
27832.9648,2.87E-06,1.78E-07
28023.3203,2.83E-06,1.74E-07
28214.9805,2.79E-06,1.69E-07
28407.9531,2.76E-06,1.65E-07
28602.2441,2.72E-06,1.61E-07
28797.8633,2.69E-06,1.57E-07
28994.8223,2.65E-06,1.53E-07
29193.125,2.62E-06,1.50E-07
29392.7852,2.58E-06,1.46E-07
29593.8125,2.55E-06,1.42E-07
29796.2129,2.52E-06,1.39E-07
30000,2.48E-06,1.35E-07
